Project_No,UAW,UUCW,TCF,ECF,Real_P20,Real_Effort_Person_Hours
1,12,375,0.92,0.78,151.85,3037
2,10,85,0.75,0.81,95.85,1917
3,6,115,0.9,1.05,58.65,1173
4,9,205,0.85,0.89,37.1,742
5,12,160,0.82,0.79,30.7,614
6,9,115,0.85,0.88,24.6,492
7,6,85,0.78,0.51,13.85,277
8,14,515,0.94,1.02,179.65,3593
9,12,185,1.03,0.8,84.05,1681
10,12,290,0.71,0.73,67.2,1344
11,9,150,1.05,0.95,61,1220
12,12,135,0.78,0.79,36,720
13,4,60,0.96,0.96,25.7,514
14,15,160,0.9,0.91,19.85,397
15,15,355,1.125,0.77,184.2,3684
16,18,145,1.08,0.77,99,1980
17,12,325,1.095,0.95,197.5,3950
18,6,90,1.02,1.085,96.25,1925
19,9,125,1.025,0.98,108.75,2175
20,9,120,1.118,0.995,111.3,2226
21,12,200,1,0.92,132,2640
22,9,175,0.95,0.92,128.4,2568
23,12,245,0.89,1.19,152.1,3042
24,6,140,0.965,0.755,84.8,1696
25,7,180,0.81,0.84,183.5,3670
26,7,155,0.9,0.94,143,2860
27,5,210,0.72,0.67,137,2740
28,6,340,0.8,0.74,168,3360
,,,,,,
,,,,,,
,,,,,,
