Project_No,UAW,UUCW,TCF,ECF,Real_P20,Real_Effort_Person_Hours
1,12,375,92,78,15185,3037
2,10,85,75,81,9585,1917
3,6,115,9,105,5865,1173
4,9,205,85,89,371,742
5,12,160,82,79,307,614
6,9,115,85,88,246,492
7,6,85,78,51,1385,277
8,14,515,94,102,17965,3593
9,12,185,103,8,8405,1681
10,12,290,71,73,672,1344
11,9,150,105,95,61,1220
12,12,135,78,79,36,720
13,4,60,96,96,257,514
14,15,160,9,91,1985,397
15,15,355,1125,77,1842,3684
16,18,145,108,77,99,1980
17,12,325,1095,95,1975,3950
18,6,90,102,1085,9625,1925
19,9,125,1025,98,10875,2175
20,9,120,1118,995,1113,2226
21,12,200,1,92,132,2640
22,9,175,95,92,1284,2568
23,12,245,89,119,1521,3042
24,6,140,965,755,848,1696
25,7,180,81,84,1835,3670
26,7,155,9,94,143,2860
27,5,210,72,67,137,2740
28,6,340,8,74,168,3360
29,9,355,81,84,3985,7970
30,8,445,99,99,3981,7962
31,9,355,103,8,39675,7935
32,8,350,9,91,39025,7805
33,8,345,9,91,3879,7758
34,8,345,99,99,38215,7643
35,7,420,94,102,3766,7532
36,8,340,103,8,37255,7451
37,8,335,94,102,37245,7449
38,7,415,1025,98,37135,7427
39,8,335,92,78,3703,7406
40,8,330,85,89,36825,7365
41,7,410,75,81,3675,7350
42,7,405,102,1085,36515,7303
43,8,325,1095,95,3626,7252
44,8,325,92,78,36225,7245
45,7,400,75,81,3583,7166
46,7,390,965,755,35595,7119
47,8,315,92,78,35555,7111
48,8,315,105,95,3522,7044
49,7,390,71,73,352,7040
50,7,395,102,1085,3514,7028
51,8,315,103,8,3471,6942
52,7,305,965,755,3407,6814
53,9,380,78,79,34045,6809
54,8,375,98,97,3401,6802
55,12,305,78,51,33935,6787
56,7,305,108,77,3382,6764
57,7,380,105,95,33805,6761
58,7,300,85,89,33625,6725
59,7,300,102,1085,3345,6690
60,7,300,108,77,330,6600
61,7,290,94,102,3237,6474
62,6,355,95,92,32165,6433
63,7,285,78,79,3208,6416
64,8,290,94,102,3206,6412
65,6,355,9,94,320,6400
66,7,285,71,73,318,6360
67,6,355,9,91,31685,6337
68,18,610,72,67,312,6240
69,7,280,78,51,3116,6232
70,7,280,103,8,30865,6173
71,6,345,1,92,308,6160
72,6,340,1095,95,30585,6117
73,7,275,75,81,3031,6062
74,19,500,103,8,30255,6051
75,18,500,72,67,3024,6048
76,18,500,85,89,30175,6035
77,6,270,965,755,3012,6024
78,18,485,85,88,30115,6023
79,18,575,1118,995,29965,5993
80,18,495,85,88,29925,5985
81,18,490,75,81,29855,5971
82,18,490,81,84,2981,5962
83,18,490,85,89,2972,5944
84,17,575,85,88,297,5940
85,6,260,98,97,29635,5927
86,17,480,85,89,29425,5885
87,18,485,108,77,2941,5882
88,6,325,72,67,294,5880
89,18,485,82,79,294,5880
90,6,330,96,96,2938,5876
91,6,330,85,89,29365,5873
92,18,485,1095,95,29325,5865
93,18,480,965,755,29315,5863
94,18,480,98,97,2928,5856
95,18,460,105,95,290,5800
96,17,565,103,8,28955,5791
97,19,475,95,92,2891,5782
98,6,250,1,92,2889,5778
99,18,460,85,89,28875,5775
